
 11%|███████████████                                                                                                                         | 15/136 [00:01<00:09, 12.68it/s]
loss:  tensor(0.5289, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.6710, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.8295, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.6906, device='cuda:0', grad_fn=<NllLossBackward0>)
100%|███████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 136/136 [00:10<00:00, 13.30it/s]
 13%|██████████████████                                                                                                                      | 18/136 [00:01<00:08, 13.59it/s]
loss:  tensor(0.4635, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5995, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4031, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4506, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.7111, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.7940, device='cuda:0', grad_fn=<NllLossBackward0>)
Training loss: 0.04052546469644568, accuracy: 0.6859770114942528
loss:  tensor(0.4843, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5418, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5615, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.6045, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5519, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.6395, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5516, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4331, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5001, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5415, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4814, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4634, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4685, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5642, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4425, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.3970, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.6162, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5289, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5044, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.8733, device='cuda:0', grad_fn=<NllLossBackward0>)

 32%|████████████████████████████████████████████                                                                                            | 44/136 [00:03<00:06, 13.76it/s]
loss:  tensor(0.4815, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4542, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.7645, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.6919, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4030, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4596, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5008, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.3639, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.6389, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.3620, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5732, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.6031, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.3558, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.6574, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.9615, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.6957, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.7379, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.6811, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.6112, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4283, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.6228, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5597, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5062, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.7960, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4654, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4917, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5095, device='cuda:0', grad_fn=<NllLossBackward0>)

 53%|████████████████████████████████████████████████████████████████████████                                                                | 72/136 [00:05<00:04, 13.14it/s]
loss:  tensor(0.4745, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5983, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4438, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4588, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4798, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5286, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.7204, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5448, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.6473, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5074, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5206, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5625, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4827, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.7504, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4354, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.7433, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5060, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5105, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4824, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5244, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4640, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4801, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4409, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.7479, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.6276, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4759, device='cuda:0', grad_fn=<NllLossBackward0>)

 74%|███████████████████████████████████████████████████████████████████████████████████████████████████▎                                   | 100/136 [00:07<00:02, 13.35it/s]
loss:  tensor(0.8303, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.2198, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.7398, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.8293, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5558, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4602, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4246, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4484, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.6001, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5976, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5862, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.8134, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.6009, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5640, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4672, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4532, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5788, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.6059, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5086, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.7203, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4239, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.6064, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5821, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.6797, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5086, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.6693, device='cuda:0', grad_fn=<NllLossBackward0>)

 93%|█████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████          | 126/136 [00:09<00:00, 13.45it/s]
loss:  tensor(0.5840, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.6275, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5292, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4821, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.7098, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.8156, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5738, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5177, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4879, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4678, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4119, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4263, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.6550, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5463, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.2381, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.3785, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5240, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.2247, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4284, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5482, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.7707, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.6232, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.7791, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5185, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.3636, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4923, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5283, device='cuda:0', grad_fn=<NllLossBackward0>)
100%|███████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 136/136 [00:10<00:00, 13.58it/s]
loss:  tensor(0.4673, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5503, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.6246, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.6287, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4894, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5035, device='cuda:0', grad_fn=<NllLossBackward0>)
Training loss: 0.0344254795093646, accuracy: 0.7075862068965517
loss:  tensor(0.4442, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4319, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.3602, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5213, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4913, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.6280, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.7217, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.3640, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.3218, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.2784, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5457, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.7946, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5112, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.9040, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4775, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.3231, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5080, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5146, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.6329, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.6046, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4917, device='cuda:0', grad_fn=<NllLossBackward0>)

 34%|██████████████████████████████████████████████                                                                                          | 46/136 [00:03<00:06, 13.69it/s]
loss:  tensor(0.6013, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5588, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5144, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.9247, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.6055, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4151, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5482, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4885, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.6516, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.6862, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5116, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.3762, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4565, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.6460, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.3485, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5243, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.6450, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5840, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.6003, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.6635, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4799, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4952, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4564, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.8215, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5676, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5216, device='cuda:0', grad_fn=<NllLossBackward0>)

 53%|████████████████████████████████████████████████████████████████████████                                                                | 72/136 [00:05<00:04, 13.81it/s]
loss:  tensor(0.3731, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5038, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4093, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4294, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4937, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.6596, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4354, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5417, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4845, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4345, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.6356, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5461, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5740, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.6566, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4336, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.6222, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4568, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5956, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4652, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4861, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.4880, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5319, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.3650, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.3070, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.5822, device='cuda:0', grad_fn=<NllLossBackward0>)
loss:  tensor(0.3433, device='cuda:0', grad_fn=<NllLossBackward0>)

 74%|███████████████████████████████████████████████████████████████████████████████████████████████████▎                                   | 100/136 [00:07<00:02, 13.22it/s]
